2a pj3 	github帳號	pj1組別	pj2組別	pj3組別
41023101	41023101	pj1ag19	pj2ag6	pj3ag3
41023102	Yuli1106	pj1ag8	pj2ag1	pj3ag5
41023103	ro731	pj1ag7	pj2ag8	pj3ag2
41023104	CHIA-ROU	pj1ag6	pj2ag4	pj3ag4
41023105	41023105	pj1ag20	pj2ag1	pj3ag5
41023106	lee-kai-shin	pj1ag7	pj2ag5	pj3ag2
41023107	LIN-TING-YUN	pj1ag8	pj2ag1	pj3ag5
41023108	KEHUEISIN	pj1ag3	pj2ag10	pj3ag3
41023109	Yu-Fang-Hong	pj1ag20	pj2ag1	pj3ag5
41023110	41023110	pj1ag3	pj2ag10	pj3ag3
41023112	41023112	pj1ag6	pj2ag4	pj3ag4
41023113	Xiang41023113	pj1ag14	pj2ag5	pj3ag2
41023114	41023114	pj1ag12	pj2ag2	pj3ag1
41023116	WUJINGYI112233	pj1ag21	pj2ag8	pj3ag2
41023118	41023118	pj1ag17	pj2ag3	pj3ag1
41023119	41023119	pj1ag10	pj2ag2	pj3ag1
41023120	41023120	pj1ag17	pj2ag3	pj3ag1
41023121	41023121	pj1ag5	pj2ag4	pj3ag4
41023122	41023122	pj1ag11	pj2ag3	pj3ag1
41023124	41023124	pj1ag11	pj2ag3	pj3ag1
41023125	4102125	pj1ag4	pj2ag5	pj3ag2
41023126	41023126	pj1ag12	pj2ag2	pj3ag1
41023128				
41023130	41023130	pj1ag9	pj2ag11	pj3ag3
41023131	george0324	pj1ag18	pj2ag6	pj3ag3
41023132	BX41023132	pj1ag16	pj2ag8	pj3ag2
41023133	JIAN3-LIN	pj1ag13	pj2ag9	pj3ag5
41023134	41023134	pj1ag5	pj2ag4	pj3ag4
41023135	41023135	pj1ag15	pj2ag9	pj3ag5
41023137	41023137	pj1ag21	pj2ag11	
41023138	jamie920130	pj1ag10	pj2ag2	pj3ag1
41023140	dan41023140	pj1ag13	pj2ag9	pj3ag5
41023141		pj1ag19	pj2ag6	pj3ag3
41023142		pj1ag9	pj2ag11	pj3ag3
41023143	shih1717	pj1ag1	pj2ag7	pj3ag4
41023146	41023146	pj1ag2	pj2ag7	pj3ag4
41023147	Xiang0502	pj1ag1	pj2ag7	pj3ag4
41023148	a41023148	pj1ag2	pj2ag7	pj3ag4
41023151	urchen41023151	pj1ag16	pj2ag8	pj3ag2
41023153	yutang327	pj1ag14	pj2ag5	pj3ag2
41023154	41023154	pj1ag15	pj2ag9	pj3ag5
41039138	GUJIAFENG	pj1ag18	pj2ag6	pj3ag3
