cd2023 2b	github_account	pj1	pj2	pj3
40723217	nfu40723217	pj1bg11	pj2bg1	pj3bg1
40732331	a40732331	pj1bg28		pj3bg7
40923115	jason60714	pj1bg26	pj2bg15	pj3bg5
40923130	Martin3130	pj1bg26	pj2bg15	pj3bg5
40923219	nfu40923219	pj1bg16	pj2bg1	pj3bg1
40923225	nfu40923225	pj1bg16	pj2bg1	pj3bg1
40923235	40923235	pj1bg26	pj2bg15	pj3bg5
40923241	nfu40923241	pj1bg11	pj2bg14	pj3bg1
40923246	40923246	pj1bg16	pj2bg1	pj3bg1
40971219	40971219	pj1bg4	pj2bg14	pj3bg1
40971220	40971220	pj1bg4	pj2bg14	pj3bg1
41023201	ruoqinz0421	pj1bg13	pj2bg4	pj3bg2
41023202	ting0111	pj1bg12	pj2bg8	pj3bg5
41023203	SHIUN129	pj1bg9	pj2bg2	pj3bg6
41023204	04yxuan	pj1bg8	pj2bg2	pj3bg6
41023205	c-ching	pj1bg8	pj2bg2	pj3bg6
41023206	tseYU000	pj1bg9	pj2bg2	pj3bg6
41023207	chiiip333	pj1bg1	pj2bg13	pj3bg6
41023208	ziyi8	pj1bg1	pj2bg13	pj3bg6
41023210	junpig10	pj1bg3	pj2bg13	pj3bg6
41023211	Wmrtbij49h	pj1bg14	pj2bg3	pj3bg8
41023212	yonqui0411	pj1bg18	pj2bg8	pj3bg5
41023213	41023213	pj1bg24	pj2bg5	pj3bg7
41023215	41023215	pj1bg20	pj2bg4	pj3bg2
41023216	41023216	pj1bg25	pj2bg5	pj3bg7
41023217	41023217	pj1bg20	pj2bg4	pj3bg2
41023218	snowfall-killer	pj1bg24	pj2bg5	pg3bg7
41023219	gu811	pj1bg5	pj2bg7	pj3bg4
41023220	41023220	pj1bg14	pj2bg6	pj3bg3
41023221	41023221	pj1bg22	pj2bg7	pj3bg4
41023222	kolas911205	pj1bg5	pj2bg7	pj3bg4
41023224	41023224	pj1bg13	pj2bg4	pj3bg2
41023225	xiaomantou0411	pj1bg25	pj2bg5	pj3bg7
41023226	41023226	pj1bg15	pj2bg6	pj3bg3
41023228	RWE1116	pj1bg22	pj2bg7	pj3bg4
41023229	CHI1020	pj1bg18	pj2bg8	pj3bg5
41023230	41023230	pj1bg30	pj2bg9	pj3bg3
41023231	zhan-uj	pj1bg29	pj2bg9	pj3bg3
41023232	Yun4	pj1bg30	pj2bg9	pj3bg3
41023233	Anguss676	pj1bg15	pj2bg6	pj3bg3
41023234	Maskie-Razzio	pj1bg6	pj2bg12	pj3bg4
41023236	Bored1236	pj1bg17	pj2bg10	pj3bg2
41023237	www000123	pj1bg21	pj2bg11	pj3bg7
41023238	41023238	pj1bg19	pj2bg16	pj3bg8
41023239	a92826	pj1bg23	pj2bg3	pj3bg8
41023240	YHY30678	pj1bg7	pj2bg10	pj3bg2
41023241	Yao-Hsien41023241	pj1bg7	pj2bg10	pj3bg2
41023242	41023242	pj1bg12	pj2bg8	pj3bg5
41023243	kenneth0812	pj1bg10	pj2bg16				
41023244	41023244	pj1bg17	pj2bg10	pj3bg2
41023245	41023245	pj1bg27	pj2bg11	pj3bg7
41023246	yuchen1031	pj1bg19	pj2bg16	pj3bg8
41023247	41023247	pj1bg6	pj2bg12	pj3bg4
41023248	smart-777	pj1bg27	pj2bg11	pj3bg7
41023249	BrianTsai071	pj1bg23	pj2bg3	pj3bg8
41023250	Ruiiide	pj1bg29	pj2bg9	pj3bg3
41023251	sdegbsvrtg	pj1bg2	pj2bg12	pj3bg4
41023252	ZYC0923	pj1bg23	pj2bg3	pj3bg5
41023253	Tzm0306	pj1bg10	pj2bg6	pj3bg3
41023254	41023254	pj1bg2	pj2bg12	pj3bg4
41023255	A41023255	pj1bg3	pj2bg13	pj3bg6
